% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=159841, Tue Apr  8 07:49:09 2025
1 7 0.05380714733112925 0.07078007979174 0.3133423522772093 0.3772235106450883 0.7851326352206252 0.9843456212457098 1.1893823788193243
2 14 0.05380714733112925 0.07078007979174 0.3133423522772093 0.3772235106450883 0.7851326352206252 0.9843456212457098 1.1893823788193243
3 21 0.05380714733112925 0.07078007979174 0.3133423522772093 0.3772235106450883 0.7851326352206252 0.9843456212457098 1.1893823788193243
4 28 0.2266396797149369 0.23468978196158308 0.5767475817248733 0.6827167460659904 0.5625080810677279 0.9263136432680709 1.3511209024469037
5 35 0.2266396797149369 0.23468978196158308 0.5767475817248733 0.6827167460659904 0.5625080810677279 0.9263136432680709 1.3511209024469037
6 42 0.2266396797149369 0.23468978196158308 0.5767475817248733 0.6827167460659904 0.5625080810677279 0.9263136432680709 1.3511209024469037
7 49 0.3280329998437421 0.3449432540126899 0.6043247440269484 0.6738749865294202 0.5669284349128101 0.8536018441991658 1.3964082645369493
8 56 0.3280329998437421 0.3449432540126899 0.6043247440269484 0.6738749865294202 0.5669284349128101 0.8536018441991658 1.3964082645369493
9 63 0.3280329998437421 0.3449432540126899 0.6043247440269484 0.6738749865294202 0.5669284349128101 0.8536018441991658 1.3964082645369493
10 70 0.13536338231117132 0.157563044264038 0.4005305826066537 0.4593201001013256 0.7285691960080592 0.9467296034600766 1.2541491077860307
11 77 0.13536338231117132 0.157563044264038 0.4005305826066537 0.4593201001013256 0.7285691960080592 0.9467296034600766 1.2541491077860307
12 84 0.13536338231117132 0.157563044264038 0.4005305826066537 0.4593201001013256 0.7285691960080592 0.9467296034600766 1.2541491077860307
13 91 0.057138730061723125 0.07386220683271769 0.1989740424186439 0.2239545108429581 0.8745435648256151 0.9758510269409875 1.1326466026260467
14 98 0.057138730061723125 0.07386220683271769 0.1989740424186439 0.2239545108429581 0.8745435648256151 0.9758510269409875 1.1326466026260467
15 105 0.057138730061723125 0.07386220683271769 0.1989740424186439 0.2239545108429581 0.8745435648256151 0.9758510269409875 1.1326466026260467
16 112 0.11626241041789345 0.11667355178090563 0.14381412433724816 0.15244984049301682 0.9206131334775227 0.9454947881738975 1.121833795178543
