% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=159841, Tue Apr  8 07:49:09 2025, <python>{}</python>
1 7 1.1390941495371811 1 0 1.0 1.0 0.0029637698294618284
2 14 1.3670170721207124 1 0 1.0 1.0 0.0029328582948032413
3 21 1.5704316336047333 1 0 1.0 1.0 0.002441953422324117
4 28 1.4896961264444781 1 0 1.0 1.0 0.002441953422324117
5 35 1.3155717423031397 1 0 1.0 1.0 0.002441953422324117
6 42 1.1254834386119117 1 0 1.0 1.0 0.002441953422324117
7 49 1.052640804374489 1 0 1.0 1.0 0.002441953422324117
8 56 0.8176096656446766 1 0 1.0 1.0 0.002441953422324117
9 63 0.8662874001847576 1 0 1.0 1.0 0.002441953422324117
10 70 0.8673706224392501 1 0 1.0 1.0 0.002441953422324117
11 77 0.9511795028366343 1 0 1.0 1.0 0.002441953422324117
12 84 0.9189013100400698 1 0 1.0 1.0 0.002441953422324117
13 91 1.1268795527331792 1 0 1.0 1.0 0.002441953422324117
14 98 1.2672920749379557 1 0 1.0 1.0 0.002441953422324117
15 105 1.2381870801580115 1 0 1.0 1.0 0.002441953422324117
16 112 1.0071006855061237 1 0 1.0 1.0 0.002441953422324117
